App,Category,Rating,Reviews,Size,Installs,Type,Price,Content Rating,Genres,Last Updated,Current Ver,Android Ver,Country
Baby Tiger Care - My Cute Virtual Pet Friend,FAMILY,4.5,432,63M,"100,000+",Free,0,Everyone 10+,Educational;Education,"July 27, 2018",1.0.89,4.4 and up,Canada
Strawberry Shortcake Ice Cream Island,FAMILY,4.2,32029,15M,"5,000,000+",Free,0,Everyone,Casual;Pretend Play,"November 6, 2017",1.2,4.1 and up,Canada
Rhythm Patrol,FAMILY,4.3,4207,26M,"100,000+",Free,0,Everyone,Music;Music & Video,"July 23, 2018",2.180723,4.1 and up,Canada
Kiddopia - Preschool Learning Games,FAMILY,4.5,64,81M,"10,000+",Free,0,Everyone,Educational;Education,"July 18, 2018",1.1.2,5.0 and up,Canada
Toca Mystery House,FAMILY,4.2,96,79M,"5,000+",Paid,$3.99,Everyone,Educational;Creativity,"June 14, 2018",1.0.1,4.4 and up,Canada
DisneyNOW – TV Shows & Games,FAMILY,4.3,82471,Varies with device,"5,000,000+",Free,0,Everyone,Entertainment;Music & Video,"July 5, 2018",Varies with device,4.4 and up,Canada
Papumba Academy - Fun Learning For Kids,FAMILY,4.4,496,94M,"100,000+",Free,0,Everyone,Education;Education,"July 11, 2018",1.0,4.2 and up,Canada
Super ABC! Learning games for kids! Preschool apps,FAMILY,4.6,20267,46M,"1,000,000+",Free,0,Everyone,Educational;Education,"July 16, 2018",1.1.6.7,4.1 and up,Canada
Drawing for Kids Learning Games for Toddlers age 3,FAMILY,4.6,29436,43M,"1,000,000+",Free,0,Everyone,Educational;Education,"March 21, 2018",2.0.5.0,4.1 and up,Canada
Baby Panda’s Juice Shop,FAMILY,4.5,19230,45M,"5,000,000+",Free,0,Everyone,Educational;Brain Games,"July 12, 2018",8.25.10.01,4.0.3 and up,Canada
Dr. Panda Restaurant 3,FAMILY,4.2,11126,91M,"1,000,000+",Free,0,Everyone,Educational;Pretend Play,"March 23, 2018",1.6.4,4.1 and up,Canada
LEGO® Friends: Heartlake Rush,FAMILY,4.5,23671,91M,"1,000,000+",Free,0,Everyone,Arcade;Pretend Play,"July 31, 2018",1.2.0,4.1 and up,Canada
Baby ABC in box! Kids alphabet games for toddlers!,FAMILY,4.6,9652,53M,"1,000,000+",Free,0,Everyone,Educational;Education,"July 16, 2018",2.0.7.4,4.1 and up,Canada
Henry Danger Crime Warp,FAMILY,4.6,9626,28M,"1,000,000+",Free,0,Everyone,Action;Action & Adventure,"February 7, 2018",1.1,4.4 and up,Canada
Thomas & Friends: Race On!,FAMILY,4.1,29319,26M,"5,000,000+",Free,0,Everyone,Casual;Action & Adventure,"May 18, 2018",2.4,4.4 and up,Canada
Super School: Educational Kids Games & Rhymes,FAMILY,4.5,1791,56M,"500,000+",Free,0,Everyone,Education;Education,"June 2, 2018",5.3.11,5.0 and up,Canada
Fruit Cube Blast,FAMILY,4.6,9199,80M,"500,000+",Free,0,Everyone,Puzzle;Brain Games,"August 3, 2018",1.2.7,4.1 and up,Canada
Toddler Kids Puzzles PUZZINGO,FAMILY,4.6,14014,60M,"1,000,000+",Free,0,Everyone,Education;Education,"July 6, 2018",7.32,4.0.3 and up,Canada
Happy Street,FAMILY,4.5,110877,Varies with device,"1,000,000+",Free,0,Everyone 10+,Casual;Action & Adventure,"March 28, 2018",Varies with device,Varies with device,Canada
Intellijoy Early Learning Academy,FAMILY,4.3,160,67M,"50,000+",Free,0,Everyone,Education;Education,"June 18, 2018",3.4.0,Varies with device,Canada
Dr. Panda Town: Vacation,FAMILY,3.8,10366,78M,"1,000,000+",Free,0,Everyone,Education;Pretend Play,"July 24, 2018",1.2.1,4.1 and up,Canada
Leo and Tig,FAMILY,4.5,47644,27M,"1,000,000+",Free,0,Everyone,Adventure;Action & Adventure,"May 31, 2018",10.180530,4.0.3 and up,Canada
School of Dragons,FAMILY,4.1,530792,Varies with device,"10,000,000+",Free,0,Everyone,Role Playing;Action & Adventure,"May 30, 2018",Varies with device,Varies with device,Canada
Fuzzy Seasons: Animal Forest,FAMILY,4.8,12137,63M,"100,000+",Free,0,Everyone 10+,Simulation;Pretend Play,"August 6, 2018",149,4.1 and up,Canada
Montessori Preschool,FAMILY,3.9,237,26M,"100,000+",Free,0,Everyone,Education;Education,"July 12, 2018",1.7.2,4.1 and up,Canada
Kids Corner: Interactive Tales and Games for kids,FAMILY,4.5,6404,46M,"500,000+",Free,0,Everyone,Educational;Brain Games,"July 16, 2018",1.8.3,4.1 and up,Canada
Cutie Cubies,FAMILY,4.4,6356,83M,"500,000+",Free,0,Everyone,Puzzle;Creativity,"July 4, 2018",1.180702,4.1 and up,Canada
My Little Princess : Stores,FAMILY,4.3,169,60M,"5,000+",Paid,$2.99,Everyone,Educational;Pretend Play,"May 25, 2018",1.08,4.1 and up,Canada
Sago Mini Big City,FAMILY,4.2,8,44M,"1,000+",Paid,$3.99,Everyone,Education;Pretend Play,"July 9, 2018",1.1,4.4 and up,Canada
Pinkalicious Party,FAMILY,3.0,2,82M,500+,Paid,$2.99,Everyone,Educational;Creativity,"June 25, 2018",1.5.0,4.1 and up,Canada
ROBLOX,FAMILY,4.5,4450855,67M,"100,000,000+",Free,0,Everyone 10+,Adventure;Action & Adventure,"July 31, 2018",2.347.225742,4.1 and up,Canada
PJ Masks: Moonlight Heroes,FAMILY,4.4,86961,99M,"10,000,000+",Free,0,Everyone,Casual;Action & Adventure,"June 5, 2018",2.0.1,4.0.3 and up,Canada
Minion Rush: Despicable Me Official Game,FAMILY,4.5,10216997,Varies with device,"100,000,000+",Free,0,Everyone 10+,Casual;Action & Adventure,"July 12, 2018",Varies with device,Varies with device,Canada
Dog Run - Pet Dog Simulator,FAMILY,4.7,48701,24M,"10,000,000+",Free,0,Everyone,Simulation;Action & Adventure,"May 22, 2018",1.4.12,4.1 and up,Canada
Moana Island Life,FAMILY,4.1,15246,78M,"1,000,000+",Free,0,Everyone,Simulation;Action & Adventure,"July 12, 2017",3.2.473.202,4.0 and up,Canada
Hot Wheels: Race Off,FAMILY,4.5,520654,Varies with device,"10,000,000+",Free,0,Everyone,Racing;Action & Adventure,"June 28, 2018",Varies with device,4.4 and up,Canada
Basketball FRVR - Shoot the Hoop and Slam Dunk!,FAMILY,4.5,4076,Varies with device,"100,000+",Free,0,Everyone,Sports;Action & Adventure,"August 1, 2018",1.3.3,4.1 and up,Canada
Farming Simulator 14,FAMILY,4.5,530904,51M,"10,000,000+",Free,0,Everyone,Simulation;Action & Adventure,"July 17, 2017",1.4.4,2.3.3 and up,Canada
My Oasis - Calming and Relaxing Idle Clicker Game,FAMILY,4.6,106750,94M,"1,000,000+",Free,0,Everyone,Simulation;Action & Adventure,"June 29, 2018",1.221,4.1 and up,Canada
My Little Pony Rainbow Runners,FAMILY,4.3,33785,16M,"5,000,000+",Free,0,Everyone,Casual;Action & Adventure,"December 20, 2017",1.3,4.1 and up,Canada
Extreme Racing 2 - Real driving RC cars game!,FAMILY,4.3,4207,93M,"500,000+",Free,0,Everyone,Racing;Action & Adventure,"August 31, 2017",1.1.9,4.1 and up,Canada
Cars: Lightning League,FAMILY,4.5,58795,77M,"10,000,000+",Free,0,Everyone,Racing;Action & Adventure,"May 21, 2018",1.6,4.0.3 and up,Canada
Little Panda Run,FAMILY,4.2,3235,32M,"1,000,000+",Free,0,Everyone,Educational;Action & Adventure,"June 20, 2018",8.25.10.00,4.0.3 and up,Canada
Snoopy's Town Tale - City Building Simulator,FAMILY,4.2,47031,58M,"1,000,000+",Free,0,Everyone,Simulation;Action & Adventure,"July 30, 2018",3.2.4,4.4 and up,Canada
Car Racing game for Kids - Beepzz Dogs 🐕,FAMILY,4.4,131,48M,"100,000+",Free,0,Everyone,Racing;Action & Adventure,"June 13, 2018",1.1.1,4.2 and up,Canada
Pony Friends 🦄 - Beepzz racing game for kids,FAMILY,4.5,114,69M,"50,000+",Free,0,Everyone,Racing;Action & Adventure,"June 13, 2018",1.4.3,4.2 and up,Canada
LEGO® Juniors Create & Cruise,FAMILY,4.1,673203,73M,"50,000,000+",Free,0,Everyone,Educational;Action & Adventure,"January 19, 2018",6.7.5222,4.1 and up,Canada
Xtreme Racing 2018 - Jeep & 4x4 off road simulator,FAMILY,4.2,2178,99M,"500,000+",Free,0,Everyone,Racing;Action & Adventure,"August 23, 2017",1.0.8,4.1 and up,Canada
Thomas & Friends: Go Go Thomas,FAMILY,4.1,175625,16M,"10,000,000+",Free,0,Everyone,Racing;Action & Adventure,"November 22, 2017",1.4,4.1 and up,Canada
Ninja Dash - Ronin Jump RPG,FAMILY,4.7,8508,54M,"500,000+",Free,0,Everyone 10+,Arcade;Action & Adventure,"August 2, 2018",1.1.23,4.0.3 and up,Canada
Paw Patrol by ShuffleCards,FAMILY,4.3,3484,56M,"1,000,000+",Free,0,Everyone,Entertainment;Action & Adventure,"March 7, 2017",1.0.1,4.0 and up,Canada
Plants vs. Zombies™ Heroes,FAMILY,4.4,379415,68M,"10,000,000+",Free,0,Everyone,Casual;Action & Adventure,"June 26, 2018",1.28.01,4.1 and up,Canada
Transformers Rescue Bots: Disaster Dash,FAMILY,4.4,19245,25M,"1,000,000+",Free,0,Everyone,Casual;Action & Adventure,"March 28, 2018",1.3,4.1 and up,Canada
Mcqueen Coloring pages,FAMILY,,65,7.0M,"100,000+",Free,0,Everyone,Art & Design;Action & Adventure,"March 7, 2018",1.0.0,4.1 and up,Canada
PAC-MAN Pop,FAMILY,4.3,24877,54M,"5,000,000+",Free,0,Everyone,Puzzle;Action & Adventure,"June 20, 2018",2.1.6579,4.1 and up,Canada
Monster Truck Driver & Racing,FAMILY,4.4,765,51M,"1,000,000+",Free,0,Everyone,Education;Action & Adventure,"January 19, 2017",1.0.9,2.3 and up,Canada
L.O.L. Surprise Ball Pop,FAMILY,4.3,10088,Varies with device,"1,000,000+",Free,0,Everyone,Casual;Action & Adventure,"March 8, 2018",Varies with device,4.1 and up,Canada
Strawberry Shortcake BerryRush,FAMILY,4.3,525552,48M,"10,000,000+",Free,0,Everyone,Action;Action & Adventure,"October 15, 2017",1.2.3,2.3 and up,Canada
Little Fire Station,FAMILY,4.2,3762,44M,"1,000,000+",Free,0,Everyone,Education;Action & Adventure,"July 2, 2018",1.47,4.3 and up,Canada
Ice Cream Jump,FAMILY,4.2,141363,8.7M,"10,000,000+",Free,0,Everyone,Casual;Action & Adventure,"January 21, 2018",1.20.2,2.3 and up,Canada
Disney Magic Kingdoms: Build Your Own Magical Park,FAMILY,4.3,472584,91M,"10,000,000+",Free,0,Everyone,Simulation;Action & Adventure,"August 2, 2018",3.2.0h,4.0.3 and up,Canada
Turbo FAST,FAMILY,4.3,1329192,97M,"50,000,000+",Free,0,Everyone,Racing;Action & Adventure,"October 4, 2017",2.1.20,2.3.3 and up,Canada
My Little Pony: Harmony Quest,FAMILY,4.1,148295,26M,"10,000,000+",Free,0,Everyone,Casual;Action & Adventure,"March 5, 2018",1.6,4.1 and up,Canada
Transformers Rescue Bots: Hero Adventures,FAMILY,4.2,41273,16M,"5,000,000+",Free,0,Everyone,Adventure;Action & Adventure,"July 5, 2018",1.5,4.1 and up,Canada
Robots Vs Zombies: Transform To Race And Fight,FAMILY,4.5,278,Varies with device,"100,000+",Free,0,Everyone,Racing;Action & Adventure,"July 11, 2018",3.49,4.2 and up,Canada
Equestria Girls,FAMILY,4.3,392596,53M,"10,000,000+",Free,0,Everyone,Role Playing;Action & Adventure,"July 22, 2016",37893,4.0 and up,Canada
DC Super Hero Girls™,FAMILY,4.3,43060,95M,"5,000,000+",Free,0,Everyone,Action;Action & Adventure,"June 29, 2018",2.8.0,4.0 and up,Canada
Disney Crossy Road,FAMILY,4.5,514088,83M,"10,000,000+",Free,0,Everyone,Arcade;Action & Adventure,"May 30, 2018",3.200.18289,4.4 and up,Canada
Touch Racing 2 - Mini RC Race,FAMILY,4.1,41867,78M,"1,000,000+",Free,0,Everyone,Racing;Action & Adventure,"May 18, 2017",1.4.2.1,2.3.3 and up,Canada
Toca Kitchen 2,FAMILY,4.5,1014846,56M,"50,000,000+",Free,0,Everyone,Educational;Pretend Play,"June 29, 2017",1.2.3-play,4.1 and up,Canada
Doctor Pets,FAMILY,4.2,23060,21M,"1,000,000+",Free,0,Everyone,Educational;Education,"July 26, 2018",1.19,4.1 and up,Canada
Supermarket – Game for Kids,FAMILY,4.4,112080,26M,"10,000,000+",Free,0,Everyone,Casual;Pretend Play,"July 26, 2018",1.24,4.1 and up,Canada
Supermarket Manager: Cashier Simulator Kids Games,FAMILY,4.0,15489,60M,"1,000,000+",Free,0,Everyone,Casual;Pretend Play,"October 11, 2017",2.4.9,4.0 and up,Canada
Kids Animals Jigsaw Puzzles 😄,FAMILY,4.1,51895,22M,"10,000,000+",Free,0,Everyone,Educational;Brain Games,"June 16, 2018",18.1,4.2 and up,Canada
DC Super Hero Girls™,FAMILY,4.3,43060,95M,"5,000,000+",Free,0,Everyone,Action;Action & Adventure,"June 29, 2018",2.8.0,4.0 and up,Canada
Strawberry Shortcake BerryRush,FAMILY,4.3,525552,48M,"10,000,000+",Free,0,Everyone,Action;Action & Adventure,"October 15, 2017",1.2.3,2.3 and up,Canada
Inside Out Thought Bubbles,FAMILY,4.4,623398,58M,"10,000,000+",Free,0,Everyone,Puzzle;Brain Games,"August 31, 2017",1.22.0,4.0.3 and up,Canada
Disney Magic Kingdoms: Build Your Own Magical Park,FAMILY,4.3,472584,91M,"10,000,000+",Free,0,Everyone,Simulation;Action & Adventure,"August 2, 2018",3.2.0h,4.0.3 and up,Canada
Monster High™,FAMILY,4.1,66661,22M,"5,000,000+",Free,0,Everyone,Casual;Pretend Play,"February 2, 2018",5.2,4.1 and up,Canada
Cute Pet Puppies,FAMILY,4.0,10447,36M,"1,000,000+",Free,0,Everyone,Simulation;Action & Adventure,"February 18, 2016",1.0.4,2.3 and up,Canada
Frozen Free Fall,FAMILY,4.3,1574197,37M,"50,000,000+",Free,0,Everyone,Puzzle;Action & Adventure,"July 27, 2018",6.7.0,4.2 and up,Canada
Monster High™ Minis Mania,FAMILY,4.6,19170,70M,"1,000,000+",Free,0,Everyone,Strategy;Action & Adventure,"March 15, 2017",1.4.2,4.0.3 and up,Canada
Shopkins World!,FAMILY,4.3,169609,34M,"10,000,000+",Free,0,Everyone,Arcade;Action & Adventure,"June 13, 2018",3.6.1,4.1 and up,Canada
Monica Toy TV,FAMILY,4.7,6188,49M,"500,000+",Free,0,Everyone 10+,Entertainment;Music & Video,"April 3, 2018",1.6.4,4.1 and up,Canada
Toy Guitar with songs for kids,FAMILY,4.3,1369,9.8M,"500,000+",Free,0,Everyone,Music & Audio;Music & Video,"March 5, 2016",1.0.3,2.3 and up,Canada
Endless Numbers,FAMILY,4.4,2952,37M,"500,000+",Free,0,Everyone,Education;Education,"June 19, 2018",1.2.0,5.1 and up,Canada
Toddler Learning Games - Little Kids Games,FAMILY,4.2,731,Varies with device,"100,000+",Free,0,Everyone,Educational;Education,"July 28, 2018",3.7.2.7,4.2 and up,Canada
Sworkit Kids - Fitness Meets Fun,FAMILY,4.7,9856,55M,"100,000+",Free,0,Everyone,Health & Fitness;Education,"February 2, 2016",1.1.1,4.0 and up,Canada
Earth to Luna! Watch and Play,FAMILY,3.9,10753,84M,"1,000,000+",Free,0,Everyone,Educational;Education,"July 23, 2018",2.5.6,4.1 and up,Canada
Nancy Drew Codes and Clues,FAMILY,4.1,154,16M,"10,000+",Free,0,Everyone,Educational;Education,"January 13, 2017",2.0.0,4.1 and up,Canada
Masha and the Bear Child Games,FAMILY,4.1,288523,92M,"10,000,000+",Free,0,Everyone,Adventure;Education,"May 8, 2018",2.7.4,4.0 and up,Canada
codeSpark Academy & The Foos,FAMILY,4.1,4522,57M,"500,000+",Free,0,Everyone,Educational;Education,"June 21, 2018",2.19.01,4.1 and up,Canada
Toca Builders,FAMILY,4.2,3328,Varies with device,"100,000+",Paid,$3.99,Everyone,Education;Creativity,"July 13, 2017",Varies with device,Varies with device,Canada
Toca Life: City,FAMILY,4.7,31100,24M,"500,000+",Paid,$3.99,Everyone,Education;Pretend Play,"July 6, 2018",1.5-play,4.4 and up,Canada
LEGO® Friends,FAMILY,4.4,854,6.9M,"10,000+",Paid,$4.99,Everyone,Casual;Pretend Play,"December 1, 2015",Varies with device,4.0.3 and up,Canada
My Little Work – Garage,FAMILY,4.3,560,44M,"10,000+",Paid,$3.99,Everyone,Casual;Education,"June 17, 2015",2.0.1,2.3 and up,Canada
"Alizay, pirate girl",FAMILY,4.5,197,11M,"1,000+",Paid,$2.99,Everyone,Casual;Action & Adventure,"March 23, 2017",4.0.2,2.3 and up,Canada
Word Search Games in english,FAMILY,4.3,63186,16M,"10,000,000+",Free,0,Everyone,Puzzle;Brain Games,"July 12, 2018",7.5,4.0.3 and up,Canada
Chess Free,FAMILY,4.3,23772,17M,"5,000,000+",Free,0,Everyone,Board;Brain Games,"August 2, 2017",1.15.3028.0,2.3 and up,Canada
Tic Tac Toe,FAMILY,4.1,6007,18M,"1,000,000+",Free,0,Everyone,Board;Action & Adventure,"July 3, 2017",1.6.3028.0,2.3 and up,Canada
Dominos Game ✔️,FAMILY,4.1,2903,16M,"1,000,000+",Free,0,Everyone,Board;Brain Games,"July 5, 2018",5.2,4.1 and up,Canada
Checkers ✔️,FAMILY,4.1,3617,19M,"1,000,000+",Free,0,Everyone,Board;Brain Games,"July 24, 2018",4.0.2,4.1 and up,Canada
Crazy Colors: Bubbles Matching,FAMILY,4.6,3063,1.6M,"100,000+",Free,0,Everyone,Board;Brain Games,"May 24, 2018",2.9.7,3.0 and up,Canada
Chess for Kids - Play & Learn,FAMILY,4.1,3234,47M,"100,000+",Free,0,Everyone,Puzzle;Brain Games,"May 15, 2018",2.2.3,4.1 and up,Canada
Block Puzzle : Night in Egypt,FAMILY,4.4,276,16M,"50,000+",Free,0,Everyone,Puzzle;Brain Games,"September 12, 2017",1.2.16,2.3 and up,Canada
Mosaic puzzles,FAMILY,4.4,1595,14M,"500,000+",Free,0,Everyone,Puzzle;Brain Games,"July 4, 2018",2.8,4.0.3 and up,Canada
Chess School for Beginners,FAMILY,4.3,879,Varies with device,"100,000+",Free,0,Everyone,Board;Brain Games,"May 22, 2018",1.1.0,4.1 and up,Canada
RISK: Global Domination,FAMILY,4.0,68559,75M,"5,000,000+",Free,0,Everyone,Board;Action & Adventure,"July 31, 2018",1.19.56.434,4.4 and up,Canada
Pino chess,FAMILY,4.8,61,25M,"1,000+",Free,0,Everyone,Casual;Brain Games,"January 26, 2017",0.1.0,4.0 and up,Canada
Chess PRO Free,FAMILY,3.8,1123,5.7M,"100,000+",Free,0,Everyone,Board;Brain Games,"September 8, 2016",4.2,2.3 and up,Canada
Children Educational Game Full,FAMILY,4.7,30,Varies with device,"1,000+",Paid,$7.49,Everyone,Educational;Education,"May 16, 2018",Varies with device,Varies with device,Canada
All-in-One Mahjong 3 FREE,FAMILY,4.5,566,17M,"50,000+",Free,0,Everyone,Board;Brain Games,"June 13, 2018",20180609,4.0 and up,Canada
Hactar Go,FAMILY,4.8,97,3.5M,"1,000+",Paid,$2.99,Everyone,Board;Brain Games,"March 30, 2018",2.4.15,4.0 and up,Canada
All-in-One Mahjong 3,FAMILY,4.4,38,16M,100+,Paid,$0.99,Everyone,Board;Brain Games,"June 14, 2018",20180609,4.0 and up,Canada
World Racers family board game,FAMILY,4.8,4,42M,100+,Paid,$0.99,Everyone,Board;Pretend Play,"September 3, 2015",1.1,5.1 and up,Canada
SweetLand — Family Board Game,FAMILY,4.2,38,47M,"1,000+",Paid,$0.99,Everyone,Casual;Pretend Play,"November 14, 2014",1.2,2.3.3 and up,Canada
Steam: Rails to Riches,FAMILY,4.2,214,67M,"5,000+",Paid,$4.99,Everyone,Board;Brain Games,"December 13, 2017",3.3.1,4.1 and up,Canada
Whoowasit? - Best kids game!,FAMILY,4.0,248,26M,"5,000+",Paid,$2.99,Everyone,Board;Action & Adventure,"July 24, 2018",1.6,4.1 and up,Canada
Lanterns: The Harvest Festival,FAMILY,4.7,185,72M,"1,000+",Paid,$4.99,Everyone,Board;Brain Games,"May 1, 2018",1.16.5,4.1 and up,Canada
Tsuro - The Game of the Path,FAMILY,4.7,2195,37M,"10,000+",Paid,$2.99,Everyone,Board;Brain Games,"August 2, 2016",1.3.3,2.3 and up,Canada
THE aMAZEing Labyrinth,FAMILY,3.9,1615,1.2M,"10,000+",Paid,$4.99,Everyone,Board;Brain Games,"February 9, 2016",1.0.3,4.0 and up,Canada
Chess and Mate,FAMILY,4.5,359,17M,"5,000+",Paid,$4.99,Everyone,Board;Brain Games,"August 12, 2015",2.0.5,2.3 and up,Canada
Kids Balloon Pop Game Free 🎈,FAMILY,4.1,38021,19M,"10,000,000+",Free,0,Everyone,Casual;Music & Video,"July 6, 2018",18.2,4.0.3 and up,Canada
Sounds for Toddlers FREE,FAMILY,4.4,6190,23M,"1,000,000+",Free,0,Everyone,Educational;Education,"August 24, 2015",1.7.1,4.0 and up,Canada
Elmo Calls by Sesame Street,FAMILY,3.9,6903,25M,"1,000,000+",Free,0,Everyone,Educational;Pretend Play,"January 31, 2018",2.0.7,2.3 and up,Canada
Sago Mini Friends,FAMILY,4.4,13155,83M,"1,000,000+",Free,0,Everyone,Education;Pretend Play,"June 16, 2016",1.3,4.0.3 and up,Canada
Papumba Academy - Fun Learning For Kids,FAMILY,4.4,496,94M,"100,000+",Free,0,Everyone,Education;Education,"July 11, 2018",1.0,4.2 and up,Canada
Tee and Mo Bath Time Free,FAMILY,3.6,418,97M,"100,000+",Free,0,Everyone,Educational;Education,"November 7, 2016",1.0.3,4.0.3 and up,Canada
Bita and the Animals - Pelos Ares,FAMILY,4.4,1160,37M,"100,000+",Free,0,Everyone,Education;Music & Video,"May 22, 2013",1.0,2.2 and up,Canada
TO-FU Oh!SUSHI,FAMILY,4.1,59917,92M,"5,000,000+",Free,0,Everyone,Education;Pretend Play,"July 31, 2018",2.3,4.4 and up,Canada
DreamWorks Friends,FAMILY,3.6,1042,48M,"100,000+",Free,0,Everyone,Role Playing;Pretend Play,"August 4, 2017",2.5,4.3 and up,Canada
Avokiddo Emotions,FAMILY,4.6,73,12M,"1,000+",Paid,$2.99,Everyone,Education;Pretend Play,"May 21, 2018",1.7.0,4.0.3 and up,Canada
Nighty Night Circus,FAMILY,4.3,382,15M,"10,000+",Paid,$2.99,Everyone,Education;Action & Adventure,"March 7, 2017",2.6,2.3 and up,Canada
Sago Mini Babies,FAMILY,4.5,253,83M,"10,000+",Paid,$3.99,Everyone,Education;Pretend Play,"October 28, 2016",1.1,4.0.3 and up,Canada
Dr. Panda & Toto's Treehouse,FAMILY,4.4,3396,9.5M,"50,000+",Paid,$3.99,Everyone,Casual;Pretend Play,"December 9, 2014",1.8,4.0 and up,Canada
Kids Balloon Pop Game Free 🎈,FAMILY,4.1,38021,19M,"10,000,000+",Free,0,Everyone,Casual;Music & Video,"July 6, 2018",18.2,4.0.3 and up,Canada
Sounds for Toddlers FREE,FAMILY,4.4,6190,23M,"1,000,000+",Free,0,Everyone,Educational;Education,"August 24, 2015",1.7.1,4.0 and up,Canada
Elmo Calls by Sesame Street,FAMILY,3.9,6903,25M,"1,000,000+",Free,0,Everyone,Educational;Pretend Play,"January 31, 2018",2.0.7,2.3 and up,Canada
Sago Mini Friends,FAMILY,4.4,13155,83M,"1,000,000+",Free,0,Everyone,Education;Pretend Play,"June 16, 2016",1.3,4.0.3 and up,Canada
Papumba Academy - Fun Learning For Kids,FAMILY,4.4,496,94M,"100,000+",Free,0,Everyone,Education;Education,"July 11, 2018",1.0,4.2 and up,Canada
Tee and Mo Bath Time Free,FAMILY,3.6,418,97M,"100,000+",Free,0,Everyone,Educational;Education,"November 7, 2016",1.0.3,4.0.3 and up,Canada
Bita and the Animals - Pelos Ares,FAMILY,4.4,1160,37M,"100,000+",Free,0,Everyone,Education;Music & Video,"May 22, 2013",1.0,2.2 and up,Canada
TO-FU Oh!SUSHI,FAMILY,4.1,59917,92M,"5,000,000+",Free,0,Everyone,Education;Pretend Play,"July 31, 2018",2.3,4.4 and up,Canada
DreamWorks Friends,FAMILY,3.6,1042,48M,"100,000+",Free,0,Everyone,Role Playing;Pretend Play,"August 4, 2017",2.5,4.3 and up,Canada
Avokiddo Emotions,FAMILY,4.6,73,12M,"1,000+",Paid,$2.99,Everyone,Education;Pretend Play,"May 21, 2018",1.7.0,4.0.3 and up,Canada
Nighty Night Circus,FAMILY,4.3,382,15M,"10,000+",Paid,$2.99,Everyone,Education;Action & Adventure,"March 7, 2017",2.6,2.3 and up,Canada
Sago Mini Babies,FAMILY,4.5,253,83M,"10,000+",Paid,$3.99,Everyone,Education;Pretend Play,"October 28, 2016",1.1,4.0.3 and up,Canada
Dr. Panda & Toto's Treehouse,FAMILY,4.4,3396,9.5M,"50,000+",Paid,$3.99,Everyone,Casual;Pretend Play,"December 9, 2014",1.8,4.0 and up,Canada
ROBLOX,FAMILY,4.5,4450890,67M,"100,000,000+",Free,0,Everyone 10+,Adventure;Action & Adventure,"July 31, 2018",2.347.225742,4.1 and up,Canada
PlayKids - Educational cartoons and games for kids,FAMILY,4.1,182173,Varies with device,"10,000,000+",Free,0,Everyone,Entertainment;Music & Video,"July 30, 2018",Varies with device,Varies with device,Canada
YouTube Kids,FAMILY,4.5,470713,Varies with device,"50,000,000+",Free,0,Everyone,Entertainment;Music & Video,"August 3, 2018",3.43.3,4.1 and up,Canada
Fun Kid Racing - Motocross,FAMILY,4.1,59729,Varies with device,"10,000,000+",Free,0,Everyone,Racing;Action & Adventure,"June 27, 2018",3.46,4.2 and up,Canada
Barbie Life™,FAMILY,3.9,133117,63M,"5,000,000+",Free,0,Everyone,Casual;Pretend Play,"July 12, 2018",2.6,4.1 and up,Canada
Baby Panda Care,FAMILY,4.2,108795,49M,"10,000,000+",Free,0,Everyone,Educational;Pretend Play,"June 15, 2018",8.25.10.00,4.0.3 and up,Canada
Palace Pets in Whisker Haven,FAMILY,4.1,47213,14M,"5,000,000+",Free,0,Everyone,Entertainment;Pretend Play,"December 9, 2017",1.8,4.2 and up,Canada
Sweet Baby Girl - Dream House and Play Time,FAMILY,3.9,95537,58M,"10,000,000+",Free,0,Everyone,Educational;Education,"July 13, 2018",2.2.54,4.4 and up,Canada
Monster High™,FAMILY,4.1,66660,22M,"5,000,000+",Free,0,Everyone,Casual;Pretend Play,"February 2, 2018",5.2,4.1 and up,Canada
Hello Kitty Lunchbox,FAMILY,4.2,51838,15M,"5,000,000+",Free,0,Everyone,Casual;Creativity,"November 21, 2017",1.6,4.1 and up,Canada
Duolingo: Learn Languages Free,FAMILY,4.7,6294397,Varies with device,"100,000,000+",Free,0,Everyone,Education;Education,"August 1, 2018",Varies with device,Varies with device,Canada
Sweet Baby Girl Newborn Baby,FAMILY,3.8,36028,50M,"5,000,000+",Free,0,Everyone,Educational;Education,"July 2, 2018",1.3.51,4.4 and up,Canada
COOKING MAMA Let's Cook!,FAMILY,4.3,528745,59M,"10,000,000+",Free,0,Everyone,Educational;Pretend Play,"July 26, 2018",1.38.0,4.1 and up,Canada
Shopkins World!,FAMILY,4.3,169609,34M,"10,000,000+",Free,0,Everyone,Arcade;Action & Adventure,"June 13, 2018",3.6.1,4.1 and up,Canada
DisneyNOW – TV Shows & Games,FAMILY,4.3,82471,Varies with device,"5,000,000+",Free,0,Everyone,Entertainment;Music & Video,"July 5, 2018",Varies with device,4.4 and up,Canada
Ever After High™ Charmed Style,FAMILY,3.9,44062,54M,"1,000,000+",Free,0,Everyone,Casual;Pretend Play,"December 30, 2016",1.3,4.0.3 and up,Canada
Equestria Girls,FAMILY,4.3,392596,53M,"10,000,000+",Free,0,Everyone,Role Playing;Action & Adventure,"July 22, 2016",37893,4.0 and up,Canada
